0 -10  -10  -10  17.3205
392  -2.80445  5.41997  6.67317  9.0428
393  -2.86028  3.97377  4.68188  6.77437
394  -2.86028  3.97377  4.68188  6.77437
395  -1.66363  2.65733  5.14338  6.02357
396  -1.66363  2.65733  5.14338  6.02357
397  0.484681  1.20171  3.90688  4.11616
398  3.35749  -0.653684  2.2591  4.09921
399  3.35749  -0.653684  2.2591  4.09921
400  0.869522  -1.72292  4.14168  4.56925
401  0.869522  -1.72292  4.14168  4.56925
402  0.869522  -1.72292  4.14168  4.56925
403  0.869522  -1.72292  4.14168  4.56925
404  1.18084  -0.406144  2.38983  2.69641
405  1.18084  -0.406144  2.38983  2.69641
406  2.66672  -2.71241  5.13373  6.38934
407  0.803907  -3.81322  5.02622  6.36002
408  -1.87701  -4.88637  3.46585  6.27789
409  0.895045  -3.16262  3.95472  5.14228
410  -1.46376  -2.00306  5.14957  5.71602
411  -1.46376  -2.00306  5.14957  5.71602
412  -3.16352  -1.06043  4.87826  5.91014
413  -2.85329  -1.69914  6.32037  7.13971
414  -5.60002  -0.522452  5.42719  7.81586
415  -7.56867  -1.83061  5.48155  9.52278
416  -8.02385  0.425218  3.9411  8.9496
417  -6.40194  0.524026  3.82264  7.47475
418  -4.1249  3.13334  6.24455  8.11338
419  -2.50184  4.65847  4.78788  7.13332
420  -2.50184  4.65847  4.78788  7.13332
421  -2.50184  4.65847  4.78788  7.13332
422  -0.937616  4.34686  5.37997  6.97986
423  -0.292964  4.07518  6.67034  7.82217
424  1.0503  3.32304  7.05126  7.86549
425  1.0503  3.32304  7.05126  7.86549
426  3.77196  2.80319  6.62925  8.12603
427  3.77196  2.80319  6.62925  8.12603
428  4.84479  1.38807  6.66338  8.3546
429  4.84479  1.38807  6.66338  8.3546
430  2.83877  1.17332  5.6934  6.46916
431  0.737712  -0.419432  4.82992  4.9039
432  2.07847  0.879431  2.40794  3.30025
433  0.898316  1.28764  2.84844  3.25248
434  0.898316  1.28764  2.84844  3.25248
435  0.898316  1.28764  2.84844  3.25248
436  0.898316  1.28764  2.84844  3.25248
437  0.898316  1.28764  2.84844  3.25248
438  -1.06538  -1.11908  4.97242  5.20695
439  -0.81968  -1.53086  6.72339  6.94401
440  -2.01173  -1.4245  9.17457  9.49995
441  -2.01173  -1.4245  9.17457  9.49995
442  -2.01173  -1.4245  9.17457  9.49995
443  -2.01173  -1.4245  9.17457  9.49995
444  -0.275219  1.05057  7.98024  8.0538
445  -3.20222  -1.06206  6.74395  7.54076
446  -3.20222  -1.06206  6.74395  7.54076
447  -3.20222  -1.06206  6.74395  7.54076
448  -3.20222  -1.06206  6.74395  7.54076
449  -3.65912  0.899812  4.18971  5.63494
450  -0.768915  -0.592034  1.44673  1.74206
451  -0.768915  -0.592034  1.44673  1.74206
452  -2.18553  -1.63584  -0.763786  2.83476
453  -3.8614  -1.21865  1.14809  4.20876
454  -5.37947  0.586343  2.36299  5.90476
455  -5.37947  0.586343  2.36299  5.90476
456  -3.08166  -0.777976  0.383676  3.20142
457  -0.465319  -0.552774  3.32019  3.3979
458  -0.465319  -0.552774  3.32019  3.3979
459  -0.465319  -0.552774  3.32019  3.3979
460  -1.04953  0.688499  3.56382  3.77841
461  -1.04953  0.688499  3.56382  3.77841
462  0.968851  -1.14668  3.71781  4.00944
463  0.968851  -1.14668  3.71781  4.00944
464  -1.8198  0.979701  5.5023  5.87765
465  -0.827683  0.337108  5.62406  5.69462
466  -0.827683  0.337108  5.62406  5.69462
467  -0.827683  0.337108  5.62406  5.69462
468  -0.24166  -1.18608  3.62046  3.81744
469  -0.24166  -1.18608  3.62046  3.81744
470  1.93691  -1.12024  3.71388  4.33584
471  1.20326  -0.738772  3.28654  3.577
472  1.20326  -0.738772  3.28654  3.577
473  1.42951  -1.72659  2.088  3.06339
474  0.769506  -2.76544  3.5448  4.5613
475  -1.33596  -0.0367601  4.37511  4.57468
476  -1.33596  -0.0367601  4.37511  4.57468
477  -4.09618  -2.35598  5.55357  7.29188
478  -6.21968  0.415588  8.48575  10.5292
479  -6.21968  0.415588  8.48575  10.5292
480  -6.21968  0.415588  8.48575  10.5292
481  -8.396  0.426771  9.17367  12.4431
482  -5.88812  1.29065  9.05476  10.8777
483  -5.88812  1.29065  9.05476  10.8777
484  -5.88812  1.29065  9.05476  10.8777
485  -6.65056  0.618492  7.19779  9.8194
486  -6.95117  -0.952986  5.02029  8.6273
487  -7.02857  -0.104781  6.54662  9.60572
488  -7.02857  -0.104781  6.54662  9.60572
489  -9.11994  1.74676  6.6318  11.4108
490  -9.82663  0.91393  3.86342  10.5983
491  -9.5979  1.45833  2.75298  10.0908
492  -9.69909  -0.885676  4.9384  10.9199
493  -12.4629  -0.222104  7.2453  14.4176
494  -10.383  0.253746  9.88142  14.3358
495  -8.23155  0.545466  9.3334  12.4567
496  -5.70805  2.62612  10.1067  11.9006
497  -5.70805  2.62612  10.1067  11.9006
498  -5.70805  2.62612  10.1067  11.9006
499  -4.0472  1.77017  12.6703  13.4182
500  -1.90192  -0.844548  9.97435  10.1891
501  -1.28283  -2.54412  9.62864  10.0414
502  -2.31152  -2.06312  8.98929  9.50826
503  -1.86718  -2.67361  7.602  8.27194
504  0.109968  -0.895857  5.70548  5.77643
505  1.64061  0.798207  5.17557  5.48774
506  1.64061  0.798207  5.17557  5.48774
507  1.64061  0.798207  5.17557  5.48774
