0 0  0  5.5  5.5
334  3.20897  1.15542  4.75159  5.84894
335  3.20897  1.15542  4.75159  5.84894
336  0.836012  0.695348  4.8086  4.93002
337  0.836012  0.695348  4.8086  4.93002
338  0.836012  0.695348  4.8086  4.93002
339  0.140082  0.412279  5.70418  5.72077
340  0.773356  -2.49605  3.57975  4.43204
341  -1.10063  -2.11726  5.9964  6.45376
342  -1.10063  -2.11726  5.9964  6.45376
343  -2.89197  -4.06087  5.21035  7.21124
344  -2.89197  -4.06087  5.21035  7.21124
345  -2.82749  -1.21083  2.97046  4.27603
346  -2.54122  0.38361  1.84744  3.16512
347  -0.641472  2.67085  2.46147  3.68832
348  -0.641472  2.67085  2.46147  3.68832
349  -0.641472  2.67085  2.46147  3.68832
350  -1.84572  0.216928  4.61969  4.97949
351  -0.595693  0.149301  5.34247  5.37765
352  0.153577  2.33875  2.78267  3.63822
353  0.153577  2.33875  2.78267  3.63822
354  -1.42364  -0.198066  4.39723  4.62619
355  -1.42364  -0.198066  4.39723  4.62619
356  -1.42364  -0.198066  4.39723  4.62619
357  -1.42364  -0.198066  4.39723  4.62619
358  -2.02297  -2.3078  5.49911  6.29751
359  -2.02297  -2.3078  5.49911  6.29751
360  -0.303485  -0.407402  6.46306  6.48299
361  -0.0385979  -3.28074  5.27413  6.21137
362  -0.0385979  -3.28074  5.27413  6.21137
363  -0.571134  -4.23162  6.92197  8.13305
364  -0.571134  -4.23162  6.92197  8.13305
365  -0.571134  -4.23162  6.92197  8.13305
366  -0.712174  -2.76857  6.49273  7.0942
367  -0.712174  -2.76857  6.49273  7.0942
368  -0.712174  -2.76857  6.49273  7.0942
369  -0.712174  -2.76857  6.49273  7.0942
370  2.09575  -0.949754  9.20468  9.4879
371  2.09575  -0.949754  9.20468  9.4879
372  0.541947  0.8445  7.72551  7.7904
373  1.8955  3.69695  5.37348  6.79225
374  1.8955  3.69695  5.37348  6.79225
375  1.8955  3.69695  5.37348  6.79225
376  1.8955  3.69695  5.37348  6.79225
377  1.8955  3.69695  5.37348  6.79225
378  1.8955  3.69695  5.37348  6.79225
379  1.8955  3.69695  5.37348  6.79225
380  3.76667  6.43769  3.07276  8.06682
381  1.46163  8.31851  3.29165  9.06471
382  1.46163  8.31851  3.29165  9.06471
383  1.5933  6.50134  3.42222  7.51782
384  1.5933  6.50134  3.42222  7.51782
385  1.5445  8.02139  5.23249  9.70088
386  1.5445  8.02139  5.23249  9.70088
387  1.87273  7.77184  2.78966  8.46704
388  1.87273  7.77184  2.78966  8.46704
389  -0.121254  5.89482  4.52233  7.43068
390  -0.121254  5.89482  4.52233  7.43068
391  -0.121254  5.89482  4.52233  7.43068
392  -2.79854  4.73806  4.59797  7.17094
393  -2.85437  3.29186  2.60668  5.07726
394  -2.85437  3.29186  2.60668  5.07726
395  -1.65772  1.97541  3.06818  4.00799
396  -1.65772  1.97541  3.06818  4.00799
397  0.490591  0.5198  1.83168  1.9662
398  0.490591  0.5198  1.83168  1.9662
399  0.490591  0.5198  1.83168  1.9662
